,uid,tipo,data_postagem,legenda,qtd_likes,qtd_comments,hashtags,data_extracao,followersCount
0,Cqtuj-YumNK,Image,2023-04-07T00:16:43.000Z,"CONHEÇA OS LÍDERES DA IC CAMPINAS. 

O Conrado e a Bianca nasceram no ABC e SP, estão casados há 8 anos. Eles estão na Rede de Igrejas desde 2018 quando foram adotados pela IC e ajudaram na plantação da IC Santo André. 

Desde 2018 a história da família Bio vem sendo construída na IC, com uma adoção transformadora, imersão profunda, entrega, renúncia, e envio! 

Conrado é Engenheiro e Bianca Advogada e ambos cursando teologia. 

Nos os últimos anos serviram na IC em São José dos Campos e, no final de 2022 foram enviados para o Ponto de Partida em Campinas, para liderar a plantação da Igreja nesta cidade.

Além dos filhos espirituais, Conrado e Bianca possuem uma linda filha, Luísa, de 8 meses. 

O sonho que está no coração desse amado casal para a IC Campinas: “Expandir o Reino de PAZ, JUSTIÇA E ALEGRIA.” 

Ore por nossos líderes plantadores, sua filha e o trabalho na cidade de Campinas!

@conradobio @biancasantosbio",80.0,43.0,[],2023-04-07,
1,CqtTy5Kuu_E,Image,2023-04-06T20:22:49.000Z,"Igreja da Cidade em Campinas! 

Campinas, uma bela cidade do estado de São Paulo, é tecnológica, com grandes empresas e universidades e atrai pessoas de todo país por estar em constante expansão. 

E nós estamos muito felizes em poder somar no Reino em Campinas!

Conrado e Bianca Bio foram enviados de nossa igreja-sede em São José dos Campos/SP e lideram este Ponto de Partida; juntos, queremos crescer e ganhar todas as pessoas para Jesus, somando com tudo o que Deus já está fazendo nessa linda cidade.

Você é convidado para conhecer e ser parte de nossa Igreja-família.

É mais do que um lugar para frequentar. É uma família para pertencer!

Bem-vindos à Igreja da Cidade em Campinas!",76.0,22.0,[],2023-04-07,
2,CqY5QeDO_AG,Image,2023-03-29T22:06:07.000Z,#umafamiliaparapertencer,27.0,5.0,['umafamiliaparapertencer'],2023-04-07,
3,CqY5MFhOPgA,Image,2023-03-29T22:05:31.000Z,#umafamiliaparapertencer,62.0,16.0,['umafamiliaparapertencer'],2023-04-07,
4,CqY5HhEuX2x,Image,2023-03-29T22:04:54.000Z,#umafamiliaparapertencer,24.0,2.0,['umafamiliaparapertencer'],2023-04-07,
5,,,,,,,,2023-04-07,106.0
0,CqvOtc6O8Ba,Sidecar,2023-04-07T14:16:52.000Z,"DA CIDADE PARA CIDADES E NAÇÕES 

O maior legado da Igreja é plantar Igrejas. E a Igreja da Cidade está 100% comprometida com isso. 

É o nosso ano de “Fazer Discípulos” e o post de hoje é para celebrarmos juntos onde já chegamos como uma família para pertencer. No Brasil e no mundo, seguimos avançando, espelhando e espalhando a mensagem de Jesus, alcançando vidas na certeza de que o melhor ainda está por vir!
 
Vamos juntos?
Envolva-se! 😀

@ic.sjcampos
@redeigrejas
@pontodepartidaic",36.0,3.0,[],2023-04-08,
5,CqY5HhEuX2x,Image,2023-03-29T22:04:54.000Z,#umafamiliaparapertencer,26.0,2.0,['umafamiliaparapertencer'],2023-04-08,
4,CqY5MFhOPgA,Image,2023-03-29T22:05:31.000Z,#umafamiliaparapertencer,64.0,16.0,['umafamiliaparapertencer'],2023-04-08,
6,,,,,,,,2023-04-08,127.0
1,Cqtuj-YumNK,Image,2023-04-07T00:16:43.000Z,"CONHEÇA OS LÍDERES DA IC CAMPINAS. 

O Conrado e a Bianca nasceram no ABC e SP, estão casados há 8 anos. Eles estão na Rede de Igrejas desde 2018 quando foram adotados pela IC e ajudaram na plantação da IC Santo André. 

Desde 2018 a história da família Bio vem sendo construída na IC, com uma adoção transformadora, imersão profunda, entrega, renúncia, e envio! 

Conrado é Engenheiro e Bianca Advogada e ambos cursando teologia. 

Nos os últimos anos serviram na IC em São José dos Campos e, no final de 2022 foram enviados para o Ponto de Partida em Campinas, para liderar a plantação da Igreja nesta cidade.

Além dos filhos espirituais, Conrado e Bianca possuem uma linda filha, Luísa, de 8 meses. 

O sonho que está no coração desse amado casal para a IC Campinas: “Expandir o Reino de PAZ, JUSTIÇA E ALEGRIA.” 

Ore por nossos líderes plantadores, sua filha e o trabalho na cidade de Campinas!

@conradobio @biancasantosbio",114.0,51.0,[],2023-04-08,
2,CqtTy5Kuu_E,Image,2023-04-06T20:22:49.000Z,"Igreja da Cidade em Campinas! 

Campinas, uma bela cidade do estado de São Paulo, é tecnológica, com grandes empresas e universidades e atrai pessoas de todo país por estar em constante expansão. 

E nós estamos muito felizes em poder somar no Reino em Campinas!

Conrado e Bianca Bio foram enviados de nossa igreja-sede em São José dos Campos/SP e lideram este Ponto de Partida; juntos, queremos crescer e ganhar todas as pessoas para Jesus, somando com tudo o que Deus já está fazendo nessa linda cidade.

Você é convidado para conhecer e ser parte de nossa Igreja-família.

É mais do que um lugar para frequentar. É uma família para pertencer!

Bem-vindos à Igreja da Cidade em Campinas!",98.0,22.0,[],2023-04-08,
3,CqY5QeDO_AG,Image,2023-03-29T22:06:07.000Z,#umafamiliaparapertencer,29.0,5.0,['umafamiliaparapertencer'],2023-04-08,
0,CqvOtc6O8Ba,Sidecar,2023-04-07T14:16:52.000Z,"DA CIDADE PARA CIDADES E NAÇÕES 

O maior legado da Igreja é plantar Igrejas. E a Igreja da Cidade está 100% comprometida com isso. 

É o nosso ano de “Fazer Discípulos” e o post de hoje é para celebrarmos juntos onde já chegamos como uma família para pertencer. No Brasil e no mundo, seguimos avançando, espelhando e espalhando a mensagem de Jesus, alcançando vidas na certeza de que o melhor ainda está por vir!
 
Vamos juntos?
Envolva-se! 😀

@ic.sjcampos
@redeigrejas
@pontodepartidaic",40.0,5.0,[],2023-04-10,
5,CqY5HhEuX2x,Image,2023-03-29T22:04:54.000Z,#umafamiliaparapertencer,26.0,2.0,['umafamiliaparapertencer'],2023-04-10,
4,CqY5MFhOPgA,Image,2023-03-29T22:05:31.000Z,#umafamiliaparapertencer,64.0,16.0,['umafamiliaparapertencer'],2023-04-10,
3,CqY5QeDO_AG,Image,2023-03-29T22:06:07.000Z,#umafamiliaparapertencer,29.0,5.0,['umafamiliaparapertencer'],2023-04-10,
